price;city;square;land_plot_surface;transport_exists_nearby;medical_service_exists_nearby;cluster
1140000.0;30.0;208.0;340.0;1.0;1.0;0
815000.0;9.0;180.0;188.0;1.0;1.0;0
880000.0;11.0;122.0;100.0;1.0;0.0;2
529000.0;18.0;71.0;568.0;1.0;0.0;2
599000.0;9.0;145.0;325.0;1.0;1.0;0
750000.0;13.0;138.0;319.0;1.0;1.0;0
1794000.0;30.0;160.0;688.0;1.0;0.0;2
459000.0;15.0;99.0;0.0;1.0;0.0;2
1880000.0;30.0;215.0;553.0;1.0;0.0;0
1180000.0;28.0;107.0;608.0;1.0;0.0;2
795000.0;20.0;90.0;172.0;1.0;0.0;2
1220000.0;2.0;210.0;500.0;1.0;0.0;2
748000.0;27.0;106.0;327.0;1.0;0.0;2
839000.0;9.0;150.0;0.0;1.0;0.0;2
549000.0;24.0;100.0;199.0;0.0;0.0;1
3490000.0;29.0;364.0;996.0;1.0;0.0;0
479000.0;31.0;70.0;131.0;1.0;0.0;2
475000.0;20.0;53.0;110.0;1.0;0.0;2
640000.0;24.0;100.0;151.0;1.0;0.0;2
1880000.0;30.0;215.0;553.0;1.0;0.0;0
890000.0;9.0;134.0;160.0;1.0;0.0;2
689000.0;35.0;192.0;480.0;1.0;0.0;2
529000.0;18.0;128.0;0.0;1.0;0.0;2
998000.0;30.0;191.0;0.0;1.0;1.0;0
309000.0;11.0;107.0;161.0;1.0;1.0;0
369000.0;24.0;74.0;180.0;1.0;0.0;2
1030000.0;31.0;188.0;0.0;1.0;0.0;2
676000.0;27.0;114.0;212.0;0.0;0.0;1
860000.0;32.0;97.0;90.0;1.0;0.0;2
839000.0;9.0;167.0;200.0;0.0;0.0;1
530000.0;0.0;90.0;344.0;1.0;0.0;2
1249000.0;20.0;164.0;0.0;0.0;0.0;1
1600000.0;11.0;260.0;209.0;0.0;0.0;1
580000.0;11.0;113.0;164.0;1.0;0.0;2
599000.0;24.0;80.0;133.0;1.0;0.0;2
1149000.0;27.0;213.0;90.0;0.0;0.0;1
866000.0;6.0;111.0;855.0;0.0;0.0;1
587000.0;30.0;63.0;197.0;1.0;0.0;2
1220000.0;30.0;175.0;123.0;0.0;0.0;1
669000.0;0.0;110.0;186.0;1.0;0.0;2
680000.0;27.0;114.0;0.0;1.0;0.0;2
